Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
"Chalet in Skykomish, Washington, US",Sky Haus - A-Frame Cabin,Jun 11 - 16,306,229,4.85 (531),4 beds
"Cabin in Hancock, New York, US",The Catskill A-Frame - Mid-Century Modern Cabin,Jun 6 - 11,485,170,4.77 (146),4 beds
"Cabin in West Farmington, Ohio, US",The Triangle: A-Frame Cabin for your city retreat,Jul 9 - 14,119,522,4.91 (515),4 beds
"Home in Blue Ridge, Georgia, US",*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,Jun 11 - 16,192,348,4.94 (88),5 beds
"Chalet in Grand Étang, Canada",• Cedar Peak • 2 Bedroom Barrier-Free Chalet,Jun 8 - 15,381,,5.0 (48),2 beds
"Room in Mexico City, Mexico","Room in apartment, traditional neighborhood",Jul 3 - 8,29,,4.84 (58),2 beds
"Tiny home in Sandy Valley, Nevada, US",Peacock Tiny House near Las Vegas,Jun 26 - Jul 1,154,,4.92 (744),3 beds
"Guest suite in Huntsville, Canada",Hidden Valley’s Guest Suite - explore nature,Sep 4 - 10,207,,4.97 (265),2 beds
"Treehouse in Travelers Rest, South Carolina, US",The Forestry House - A modern luxury treehouse.,Aug 20 - 25,282,417,New,1 bed
"Farm stay in Del Norte County, California, US",Underground Hobbit Hole @ Sustainable Ecovillage,Jun 9 - 14,89,253,4.54 (195),1 bed
"Treehouse in San Carlos, Costa Rica",Rainforest Tree House with Hot Springs,Aug 31 - Sep 5,132,,4.84 (763),3 beds
"Treehouse in Frazeysburg, Ohio, US",Tullihas in the Trees Off-Grid Treehouse,Jun 4 - 9,143,,4.98 (181),2 beds
"Cabin in Rodney, Canada",SECLUDED LAKESIDE CABIN,Jul 23 - 28,463,,4.99 (172),3 beds
"Room in La Habana, Cuba",Fauria Colonial House (Room 3),Jun 21 - 26,29,,4.92 (75),1 bed
"Dome in Terlingua, Texas, US",Domeland: Off-grid Adobe Dome near Big Bend,Jul 9 - 14,136,,4.95 (863),5 beds
"Cottage in Harcourt, Canada",Scandinavian-Inspired Tiny Home Experience,Sep 3 - 8,392,,4.98 (95),2 beds
"Cabin in Medellín, Colombia",Chalet Boutique Saltamontes Santa Elena,Jun 4 - 9,51,,4.94 (232),2 beds
"Hut in Bavaro, Dominican Republic",Hut #1 Romantic Luxury Beachfront,Jul 1 - 6,171,,4.89 (377),2 beds
"Condo in Puerto Vallarta, Mexico",Buddha Loft in Romantic Zone of Puerto Vallarta,Jul 12 - 17,112,146,4.85 (175),1 bed
"Chalet in Cajicá, Colombia",Casa Anís,Jun 1 - 6,40,,4.96 (202),3 beds
"Cottage in Renous, Canada",Hambrook Point Cottage “Homestead”,Jun 25 - 30,93,,4.87 (360),3 beds
"Tiny home in Castleton, Canada","Artsy ""Glamping"" experience",Jul 21 - 26,138,,4.91 (278),3 beds
"Cottage in Bodega Bay, California, US","Seamist Beach Cottage, Private Beach & Ocean views",Aug 13 - 18,670,,4.7 (256),2 beds
"Guesthouse in Key Largo, Florida, US","Private Cottage, enjoy beach, sunsets & fishing.",Jul 11 - 16,218,,4.89 (314),3 beds
"Cabin in El Peñol, Colombia",6 Ibuku Big Cabin by Lake Jacuzzi Kayak,Jun 12 - 17,220,372,4.93 (46),7 beds
"Guest suite in North Vancouver, Canada",The Brite House - Oceanfront Sojourn,Jun 6 - 11,305,251,4.87 (319),3 beds
"Home in Shirley, Canada",♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,Jun 4 - 9,480,290,4.82 (125),5 beds
"Apartment in Miami, Florida, US","LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",Jun 27 - Jul 4,398,265,4.89 (605),2 beds
"Dome in Lac-Supérieur, Canada",Dome L'Albatros | Private Spa | BBQ Zone,Jul 25 - 31,322,232,4.86 (196),6 beds
"Apartment in Tulum, Mexico",☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,Jun 1 - 6,55,,4.6 (73),4 beds
"Chalet in Durham, Canada",Newly-Constructed Riverfront Chalet,Jun 4 - 9,360,,4.97 (95),2 beds
"Home in Borinquen, Puerto Rico",The Nest at Crash Boat. Only waterfront on Beach,Aug 7 - 12,363,,4.9 (143),3 beds
"Cottage in Wasaga Beach, Canada",Cozy Riverfront Cottage Retreat with Dock,Jun 11 - 16,232,,4.84 (55),1 bed
"Tiny home in Blockhouse, Canada",The Ruby -A Rustic Red Ark tiny home,Jun 18 - 23,81,,4.98 (43),2 beds
"Guesthouse in Peachland, Canada",Romantic lakefront estate with lake view & deck,Jun 2 - 7,271,,5.0 (311),2 beds
"Dome in Windermere, Canada",Cougar Dome at Winderdome Resort!,Aug 27 - Sep 1,335,223,5.0 (16),3 beds
"Condo in Myrtle Beach, South Carolina, US",Cool Clean Condo with Brilliant Oceanfront View,Jun 25 - Jul 1,261,63,4.58 (108),2 beds
"Apartment in Playa del Carmen, Mexico","Su mejor opción en Playa del Carmen, a pasos de la quinta av.",Jun 4 - 9,89,198,4.78 (231),2 beds
"Tiny home in Maynooth, Canada",Cozy Cabin #2 - private cabin in the wilderness!,Jun 4 - 9,71,141,4.89 (90),2 beds
"Cottage in Luquillo, Puerto Rico",The Sugar Shack a unique cabin in the Rainforest,Sep 4 - 9,75,,4.92 (447),2 beds
"Condo in Hollywood, Florida, US",Amazing Hyde One-bedroom apartment on the Beach,Jun 4 - 9,248,,4.56 (62),2 beds
"Cabin in Naples, New York, US",East hill cabins #1,Jun 11 - 16,91,,4.82 (334),2 beds
"Campsite in Nemaiah Valley, Canada",Sunset Wilderness Camp,Jun 1 - 6,34,,4.0 (3),1 bed
"Loft in The Blue Mountains, Canada",Chateau Ridge Chalet w/ Mountain View,Jun 5 - 12,154,,4.84 (95),4 beds
"Place to stay in Punta Cana, Dominican Republic",Hut #3 Romantic Luxury on the sand,Jul 11 - 16,132,,4.86 (29),2 beds
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,Jun 4 - 9,239,,4.97 (29),2 beds
"Dome in Whittier, North Carolina, US",Luxury Dome w/ Hot Tub & Mountain View,Aug 7 - 12,291,169,5.0 (11),2 beds
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,Jun 4 - 9,239,132,4.97 (29),2 beds
"Home in Puntarenas Province, Costa Rica",House with pool in the heights of Santa Teresa,Jun 4 - 9,230,47,5.0 (6),3 beds
"Nature lodge in Quesada, Costa Rica",Cabin Over a water fall,Jun 5 - 10,82,,4.94 (133),1 bed
"Boat in Key West, Florida, US",Cozy Houseboat “Wild One”,Jun 11 - 16,233,,5.0 (4),2 beds
"Home in Bellingham, Washington, US",Bellingham A-Frame - Hot tub & Firepit,Jun 11 - 16,232,,New,2 beds
"Apartment in San Juan, Puerto Rico","Villa Bohème 3, 1BR with Patio",Jul 8 - 13,115,,New,1 bed
"Cabin in Gold Bar, Washington, US",New lux cabin w/mount index view,Jun 25 - 30,253,,4.86 (7),2 beds
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,Aug 1 - 6,186,,4.94 (226),2 beds
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,Aug 1 - 6,186,192,4.94 (226),2 beds
"Treehouse in Wardensville, West Virginia, US",Eagles Nest Treehouse w/Hot tub!,Jun 4 - 10,244,63,New,3 beds
"Boat in Stuart, Florida, US",Modern Houseboat On the water,Aug 6 - 11,173,49,4.97 (264),1 bed
"Condo in Miami Beach, Florida, US",Oceanfront 14th Floor Brand New Beachfront Flat,Jun 14 - 19,302,,4.85 (646),2 beds
"Shipping container in Playa Hermosa, Costa Rica",Beachfront Bungalow w/ private hydromassage pool 2,Jun 10 - 15,147,,4.9 (68),2 beds
"Cabin in Marion, North Carolina, US","Luxury Treehouse, Romantic, Views, Hike-Waterfall",Jul 29 - Aug 3,228,,5.0 (18),1 bed
"Camper/RV in Half Moon Bay, California, US",Quiet and Private Retreat in a 1967 Airstream on the Coast.,Jun 25 - 30,220,,4.93 (347),2 beds
"Apartment in San José, Costa Rica",New Boho Sabana Apartment Close to Airports w/ AC,Jun 23 - 28,89,,4.85 (81),1 bed
"Treehouse in Río Grande, Puerto Rico",Charming Treehouse with Pool,Sep 10 - 15,217,330,5.0 (172),1 bed
"Loft in Mazatlán, Mexico",Oceanfront loft,Jun 10 - 15,100,253,4.92 (177),2 beds
"Home in Real Montecassino, Mexico",New! Bamboo Bosque Mio (Stars & Campfires),Jun 4 - 9,113,,4.82 (56),3 beds
"Home in Vero Beach, Florida, US","Heated Pool, Putt Putt Golf",Jun 11 - 16,468,,4.93 (15),5 beds
"Shipping container in Jauca, Puerto Rico",Pequeño espacio Romántico piscina y muelle privado,Jul 17 - 22,220,,4.95 (139),1 bed
"Apartment in Acapulco, Mexico",COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,Jun 4 - 9,42,96,4.57 (226),1 bed
"Home in Pinilla, Costa Rica",Casa La Paz vistas al mar @ Pinilla Highlands,Jul 30 - Aug 6,146,,4.86 (7),1 bed
"Farm stay in Siler City, North Carolina, US",Lovely farm cabin experience,Jun 11 - 16,114,,5.0 (5),2 beds
"Tiny home in Horning's Mills, Canada",Pine River Bunkies: Heron’s Landing Off Grid Cabin,Jun 1 - 6,120,,4.89 (103),2 beds
"Bungalow in Newport Beach, California, US","Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO",Jul 31 - Aug 7,229,,4.8 (289),3 beds
